"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Swag Labs - Login: As a ""standard_user"", I want to log in successfully","","0","1","8","0","0"
"","Swag Labs - Login: As a ""visual_user"", I want to log in successfully","","0","1","4","0","0"
"","Swag Labs - Login: As a ""locked_out_user"", I cannot log in into the home page and see message error","","0","3","4","0","0"
"","Swag Labs - Login: As a ""performance_glitch_user"", I want to log in successfully","","0","1","4","0","0"
"","Swag Labs - Login: As a ""problem_user"", I want to log in successfully","","0","1","4","0","0"
"","Swag Labs - Login: As a ""error_user"", I want to log in successfully","","0","1","4","0","0"
"","Swag Labs - Login: As a ""standard_user"" but the password is blank, I cannot log in into the home page and see message error","","0","0","4","0","0"
"","Swag Labs - Login: As a ""another_user"", I cannot log in into the home page and see message error","","0","0","4","0","0"
"","Swag Labs - Login: As a "" "" blank user, I cannot log in into the home page and see message error","","0","1","3","0","0"
"","Swag Labs - Login: As a """" blank user, I cannot log in into the home page and see message error","","0","0","4","0","0"
